date,open_prc,high_prc,low_prc,close_prc,base_prc,volume
1999-06-03,92000,92300,88100,91000,90300,994982
1999-06-04,91000,96000,91000,95000,91000,1042697
1999-06-07,98000,102000,96800,102000,95000,1155707
1999-06-08,102000,102500,98100,99500,102000,957041
1999-06-09,97000,98000,91500,91500,99500,726697
1999-06-10,93400,105000,93100,105000,91500,2087601
1999-06-11,105000,115500,102500,109000,105000,1969349
1999-06-14,106000,106000,100000,104500,109000,870005
1999-06-15,100000,108500,100000,103000,104500,1104861
1999-06-16,104000,115000,104000,114000,103000,1557300
1999-06-17,117000,129500,115000,115000,114000,2292345
1999-06-18,118000,123000,116000,119000,115000,1631519
1999-06-21,122000,129000,122000,129000,119000,1136161
1999-06-22,127500,130000,124000,128000,129000,998475
1999-06-23,125000,129500,124000,124000,128000,956212
1999-06-24,125000,128000,124000,124000,124000,852441
1999-06-25,120000,125000,119000,125000,124000,832874
1999-06-28,124500,134000,124500,131000,125000,1216380
1999-06-29,130000,130500,127000,127000,131000,901702
1999-06-30,127000,133500,122000,127000,127000,1642272
1999-07-01,129000,134000,127500,133000,127000,1064785
1999-07-02,133000,145000,130500,141000,133000,1533313
1999-07-05,145000,151500,139500,151000,141000,1227350
1999-07-06,150000,173500,148500,172000,151000,1323518
1999-07-07,169000,170000,158500,161500,172000,2116561
1999-07-08,162500,167500,151500,160000,161500,1756683
1999-07-09,160000,160000,152000,157000,160000,1393425
1999-07-12,156000,159000,149500,149500,157000,1090993
1999-07-13,146500,162500,146500,156500,149500,1627833
1999-07-14,157500,162000,155000,157000,156500,1251715
1999-07-15,160000,169500,158500,168000,157000,1447788
1999-07-16,169000,177000,169000,172500,168000,1388163
1999-07-19,180000,181000,168000,173000,172500,1148678
1999-07-20,173000,178000,171000,171000,173000,1030892
1999-07-21,168500,169000,158000,166500,171000,1186533
1999-07-22,164500,173000,164000,172000,166500,1157303
1999-07-23,170000,170000,150000,156000,172000,1180685
1999-07-26,156000,163000,153000,158500,156000,1212761
1999-07-27,161500,170000,160000,168500,158500,910512
1999-07-28,170500,187500,169500,178000,168500,1952152
1999-07-29,185000,198000,178500,197000,178000,1661889
1999-07-30,197000,204000,187000,189000,197000,1945800
1999-08-02,188500,193000,181500,187500,189000,1155480
1999-08-03,190000,196000,186500,194500,187500,873906
1999-08-04,194500,196000,190000,190000,194500,673348
1999-08-05,186000,190000,181000,183000,190000,824200
1999-08-06,183000,187000,174000,177000,183000,753170
1999-08-09,177000,186500,174500,180000,177000,774547
1999-08-10,182000,200000,180000,200000,180000,1108673
1999-08-11,195000,197000,185000,185500,200000,958530
1999-08-12,190000,193000,186500,190000,185500,740069
1999-08-13,185000,189000,180500,185000,190000,719845
1999-08-16,184000,194500,182000,190000,185000,700220
1999-08-17,191000,193500,183000,184000,190000,759830
1999-08-18,180000,188000,177000,184000,184000,695577
1999-08-19,186000,188000,178000,178000,184000,509661
1999-08-20,178000,178000,173000,176000,178000,529333
1999-08-23,179500,187000,178000,185000,176000,674482
1999-08-24,190000,194000,186500,192500,185000,794226
1999-08-25,192500,202500,192500,199500,192500,1126957
1999-08-26,202000,217500,198500,212000,199500,1429694
1999-08-27,215000,233000,211000,224000,212000,1298826
1999-08-30,226000,231000,217000,217000,224000,879129
1999-08-31,213000,224500,213000,224000,217000,1086024
1999-09-01,230000,234000,218000,218500,224000,1506536
1999-09-02,214500,228000,213500,225000,218500,1188782
